Date,Ticker,label
2018-01-02,AAPL,0
2018-01-02,ABBV,0
2018-01-02,ABT,0
2018-01-02,ADBE,0
2018-01-02,ADI,0
2018-01-02,AMAT,0
2018-01-02,AMD,0
2018-01-02,AMZN,0
2018-01-02,AVGO,0
2018-01-02,AXP,0
2018-01-02,BA,0
2018-01-02,BAC,0
2018-01-02,BKNG,0
2018-01-02,BLK,0
2018-01-02,C,0
2018-01-02,CAT,0
2018-01-02,COST,0
2018-01-02,CRM,0
2018-01-02,CSCO,0
2018-01-02,CVX,0
2018-01-02,DE,0
2018-01-02,DIS,0
2018-01-02,GOOGL,0
2018-01-02,GS,0
2018-01-02,HD,0
2018-01-02,HON,0
2018-01-02,IBM,0
2018-01-02,INTC,0
2018-01-02,INTU,0
2018-01-02,JNJ,0
2018-01-02,JPM,0
2018-01-02,KO,0
2018-01-02,LLY,0
2018-01-02,LULU,0
2018-01-02,MA,0
2018-01-02,MCD,0
2018-01-02,META,0
2018-01-02,MRK,0
2018-01-02,MS,0
2018-01-02,MSFT,0
2018-01-02,MU,0
2018-01-02,NFLX,0
2018-01-02,NKE,0
2018-01-02,NOW,0
2018-01-02,NVDA,0
2018-01-02,ORCL,0
2018-01-02,PANW,0
2018-01-02,PEP,0
2018-01-02,PFE,0
2018-01-02,QCOM,0
2018-01-02,RTX,0
2018-01-02,SBUX,0
2018-01-02,SPY,0
2018-01-02,T,0
2018-01-02,TGT,0
2018-01-02,TMO,0
2018-01-02,TSLA,0
2018-01-02,TXN,0
2018-01-02,UNH,0
2018-01-02,V,0
2018-01-02,WFC,0
2018-01-02,WMT,0
2018-01-02,XOM,0
2018-01-03,AAPL,0
2018-01-03,ABBV,0
2018-01-03,ABT,0
2018-01-03,ADBE,0
2018-01-03,ADI,0
2018-01-03,AMAT,0
2018-01-03,AMD,0
2018-01-03,AMZN,0
2018-01-03,AVGO,0
2018-01-03,AXP,0
2018-01-03,BA,0
2018-01-03,BAC,0
2018-01-03,BKNG,0
2018-01-03,BLK,0
2018-01-03,C,0
2018-01-03,CAT,0
2018-01-03,COST,0
2018-01-03,CRM,0
2018-01-03,CSCO,0
2018-01-03,CVX,0
2018-01-03,DE,0
2018-01-03,DIS,0
2018-01-03,GOOGL,0
2018-01-03,GS,0
2018-01-03,HD,0
2018-01-03,HON,0
2018-01-03,IBM,0
2018-01-03,INTC,0
2018-01-03,INTU,0
2018-01-03,JNJ,0
2018-01-03,JPM,0
2018-01-03,KO,0
2018-01-03,LLY,0
2018-01-03,LULU,0
2018-01-03,MA,0
2018-01-03,MCD,0
2018-01-03,META,0
2018-01-03,MRK,0
2018-01-03,MS,0
2018-01-03,MSFT,0
2018-01-03,MU,0
2018-01-03,NFLX,0
2018-01-03,NKE,0
2018-01-03,NOW,0
2018-01-03,NVDA,0
2018-01-03,ORCL,0
2018-01-03,PANW,0
2018-01-03,PEP,0
2018-01-03,PFE,0
2018-01-03,QCOM,0
2018-01-03,RTX,0
2018-01-03,SBUX,0
2018-01-03,SPY,0
2018-01-03,T,0
2018-01-03,TGT,0
2018-01-03,TMO,0
2018-01-03,TSLA,0
2018-01-03,TXN,0
2018-01-03,UNH,0
2018-01-03,V,0
2018-01-03,WFC,0
2018-01-03,WMT,0
2018-01-03,XOM,0
2018-01-04,AAPL,0
2018-01-04,ABBV,0
2018-01-04,ABT,0
2018-01-04,ADBE,0
2018-01-04,ADI,0
2018-01-04,AMAT,0
2018-01-04,AMD,0
2018-01-04,AMZN,0
2018-01-04,AVGO,0
2018-01-04,AXP,0
2018-01-04,BA,0
2018-01-04,BAC,0
2018-01-04,BKNG,0
2018-01-04,BLK,0
2018-01-04,C,0
2018-01-04,CAT,0
2018-01-04,COST,0
2018-01-04,CRM,0
2018-01-04,CSCO,0
2018-01-04,CVX,0
2018-01-04,DE,0
2018-01-04,DIS,0
2018-01-04,GOOGL,0
2018-01-04,GS,0
2018-01-04,HD,0
2018-01-04,HON,0
2018-01-04,IBM,0
2018-01-04,INTC,0
2018-01-04,INTU,0
2018-01-04,JNJ,0
2018-01-04,JPM,0
2018-01-04,KO,0
2018-01-04,LLY,0
2018-01-04,LULU,0
2018-01-04,MA,0
2018-01-04,MCD,0
2018-01-04,META,0
2018-01-04,MRK,0
2018-01-04,MS,0
2018-01-04,MSFT,0
2018-01-04,MU,0
2018-01-04,NFLX,0
2018-01-04,NKE,0
2018-01-04,NOW,0
2018-01-04,NVDA,0
2018-01-04,ORCL,0
2018-01-04,PANW,0
2018-01-04,PEP,0
2018-01-04,PFE,0
2018-01-04,QCOM,0
2018-01-04,RTX,0
2018-01-04,SBUX,0
2018-01-04,SPY,0
2018-01-04,T,0
2018-01-04,TGT,0
2018-01-04,TMO,0
2018-01-04,TSLA,0
2018-01-04,TXN,0
2018-01-04,UNH,0
2018-01-04,V,0
2018-01-04,WFC,0
2018-01-04,WMT,0
2018-01-04,XOM,0
2018-01-05,AAPL,0
2018-01-05,ABBV,0
2018-01-05,ABT,0
2018-01-05,ADBE,0
2018-01-05,ADI,0
2018-01-05,AMAT,0
2018-01-05,AMD,0
2018-01-05,AMZN,0
2018-01-05,AVGO,0
2018-01-05,AXP,0
2018-01-05,BA,0
2018-01-05,BAC,0
2018-01-05,BKNG,0
2018-01-05,BLK,0
2018-01-05,C,0
2018-01-05,CAT,0
2018-01-05,COST,0
2018-01-05,CRM,0
2018-01-05,CSCO,0
2018-01-05,CVX,0
2018-01-05,DE,0
2018-01-05,DIS,0
2018-01-05,GOOGL,0
2018-01-05,GS,0
2018-01-05,HD,0
2018-01-05,HON,0
2018-01-05,IBM,0
2018-01-05,INTC,0
2018-01-05,INTU,0
2018-01-05,JNJ,0
2018-01-05,JPM,0
2018-01-05,KO,0
2018-01-05,LLY,0
2018-01-05,LULU,0
2018-01-05,MA,0
2018-01-05,MCD,0
2018-01-05,META,0
2018-01-05,MRK,0
2018-01-05,MS,0
2018-01-05,MSFT,0
2018-01-05,MU,0
2018-01-05,NFLX,0
2018-01-05,NKE,0
2018-01-05,NOW,0
2018-01-05,NVDA,0
2018-01-05,ORCL,0
2018-01-05,PANW,0
2018-01-05,PEP,0
2018-01-05,PFE,0
2018-01-05,QCOM,0
2018-01-05,RTX,0
2018-01-05,SBUX,0
2018-01-05,SPY,0
2018-01-05,T,0
2018-01-05,TGT,0
2018-01-05,TMO,0
2018-01-05,TSLA,0
2018-01-05,TXN,0
2018-01-05,UNH,0
2018-01-05,V,0
2018-01-05,WFC,0
2018-01-05,WMT,0
2018-01-05,XOM,0
2018-01-08,AAPL,0
2018-01-08,ABBV,0
2018-01-08,ABT,0
2018-01-08,ADBE,0
2018-01-08,ADI,0
2018-01-08,AMAT,0
2018-01-08,AMD,0
2018-01-08,AMZN,0
2018-01-08,AVGO,0
2018-01-08,AXP,0
2018-01-08,BA,0
2018-01-08,BAC,0
2018-01-08,BKNG,0
2018-01-08,BLK,0
2018-01-08,C,0
2018-01-08,CAT,0
2018-01-08,COST,0
2018-01-08,CRM,0
2018-01-08,CSCO,0
2018-01-08,CVX,0
2018-01-08,DE,0
2018-01-08,DIS,0
2018-01-08,GOOGL,0
2018-01-08,GS,0
2018-01-08,HD,0
2018-01-08,HON,0
2018-01-08,IBM,0
2018-01-08,INTC,0
2018-01-08,INTU,0
2018-01-08,JNJ,0
2018-01-08,JPM,0
2018-01-08,KO,0
2018-01-08,LLY,0
2018-01-08,LULU,0
2018-01-08,MA,0
2018-01-08,MCD,0
2018-01-08,META,0
2018-01-08,MRK,0
2018-01-08,MS,0
2018-01-08,MSFT,0
2018-01-08,MU,0
2018-01-08,NFLX,0
2018-01-08,NKE,0
2018-01-08,NOW,0
2018-01-08,NVDA,0
2018-01-08,ORCL,0
2018-01-08,PANW,0
2018-01-08,PEP,0
2018-01-08,PFE,0
2018-01-08,QCOM,0
2018-01-08,RTX,0
2018-01-08,SBUX,0
2018-01-08,SPY,0
2018-01-08,T,0
2018-01-08,TGT,0
2018-01-08,TMO,0
2018-01-08,TSLA,0
2018-01-08,TXN,0
2018-01-08,UNH,0
2018-01-08,V,0
2018-01-08,WFC,0
2018-01-08,WMT,0
2018-01-08,XOM,0
2018-01-09,AAPL,0
2018-01-09,ABBV,0
2018-01-09,ABT,0
2018-01-09,ADBE,0
2018-01-09,ADI,0
2018-01-09,AMAT,0
2018-01-09,AMD,0
2018-01-09,AMZN,0
2018-01-09,AVGO,0
2018-01-09,AXP,0
2018-01-09,BA,0
2018-01-09,BAC,0
2018-01-09,BKNG,0
2018-01-09,BLK,0
2018-01-09,C,0
2018-01-09,CAT,0
2018-01-09,COST,0
2018-01-09,CRM,0
2018-01-09,CSCO,0
2018-01-09,CVX,0
2018-01-09,DE,0
2018-01-09,DIS,0
2018-01-09,GOOGL,0
2018-01-09,GS,0
2018-01-09,HD,0
2018-01-09,HON,0
2018-01-09,IBM,0
2018-01-09,INTC,0
2018-01-09,INTU,0
2018-01-09,JNJ,0
2018-01-09,JPM,0
2018-01-09,KO,0
2018-01-09,LLY,0
2018-01-09,LULU,0
2018-01-09,MA,0
2018-01-09,MCD,0
2018-01-09,META,0
2018-01-09,MRK,0
2018-01-09,MS,0
2018-01-09,MSFT,0
2018-01-09,MU,0
2018-01-09,NFLX,0
2018-01-09,NKE,0
2018-01-09,NOW,0
2018-01-09,NVDA,0
2018-01-09,ORCL,0
2018-01-09,PANW,0
2018-01-09,PEP,0
2018-01-09,PFE,0
2018-01-09,QCOM,0
2018-01-09,RTX,0
2018-01-09,SBUX,0
2018-01-09,SPY,0
2018-01-09,T,0
2018-01-09,TGT,0
2018-01-09,TMO,0
2018-01-09,TSLA,0
2018-01-09,TXN,0
2018-01-09,UNH,0
2018-01-09,V,0
2018-01-09,WFC,0
2018-01-09,WMT,0
2018-01-09,XOM,0
2018-01-10,AAPL,0
2018-01-10,ABBV,0
2018-01-10,ABT,0
2018-01-10,ADBE,0
2018-01-10,ADI,0
2018-01-10,AMAT,0
2018-01-10,AMD,0
2018-01-10,AMZN,0
2018-01-10,AVGO,0
2018-01-10,AXP,0
2018-01-10,BA,0
2018-01-10,BAC,0
2018-01-10,BKNG,0
2018-01-10,BLK,0
2018-01-10,C,0
2018-01-10,CAT,0
2018-01-10,COST,0
2018-01-10,CRM,0
2018-01-10,CSCO,0
2018-01-10,CVX,0
2018-01-10,DE,0
2018-01-10,DIS,0
2018-01-10,GOOGL,0
2018-01-10,GS,0
2018-01-10,HD,0
2018-01-10,HON,0
2018-01-10,IBM,0
2018-01-10,INTC,0
2018-01-10,INTU,0
